,grain screened,paper type,ink type,type on cylinder,press type,press,unit number,paper mill location,proof cut,viscosity,caliper,ink temperature,humifity,roughness,blade pressure,varnish pct,press speed,ink pct,solvent pct,wax,hardener,roller durometer,current density,anode space ratio,band type,speedBand,cutBand
0,0,1,1,yes,1,4,2.0,2,55.0,46.0,0.2,17.0,78.0,0.75,20.0,13.1,1700.0,50.5,36.4,2.5,1.0,34.0,40.0,105.0,1,1,1
1,0,1,1,yes,1,4,2.0,2,55.0,46.0,0.3,15.0,80.0,0.75,20.0,6.6,1900.0,54.9,38.5,2.5,0.7,34.0,40.0,105.0,0,2,1
2,0,1,0,yes,3,2,9.0,2,62.0,40.0,0.433,16.0,80.0,0.7243334970530452,30.0,6.5,1850.0,53.8,39.8,2.8,0.9,40.0,40.0,103.87,0,2,2
3,0,1,1,yes,3,3,9.0,2,52.0,40.0,0.3,16.0,75.0,0.3125,30.0,5.6,1467.0,55.6,38.8,2.5,1.3,40.0,40.0,108.06,0,0,1
4,1,1,0,yes,3,3,2.0,2,50.0,46.0,0.3,17.0,80.0,0.75,30.0,10.3239852398524,2100.0,57.5,42.5,2.3,0.6,35.0,40.0,106.67,0,3,1
5,0,1,1,yes,3,3,2.0,2,50.0,40.0,0.267,16.8,76.0,0.4375,28.0,8.6,1467.0,53.8,37.6,2.5,0.8,40.0,40.0,103.87,0,0,1
6,1,0,0,yes,1,6,2.0,1,50.0,46.0,0.3,16.5,75.0,0.75,30.0,10.3239852398524,2600.0,62.5,37.5,2.5,0.6,30.0,40.0,106.67,0,3,1
7,1,0,0,yes,1,6,9.0,1,50.0,46.0,0.2,16.5,75.0,0.75,28.0,10.3239852398524,2600.0,62.5,37.5,2.5,1.1,30.0,40.0,106.67,0,3,1
8,0,1,1,yes,2,0,7.0,2,50.0,45.0,0.367,12.0,70.0,0.75,60.0,10.3239852398524,1650.0,60.2,39.8,3.0,1.0,40.0,40.0,103.22,1,1,1
9,0,1,1,yes,3,2,2.0,2,65.0,43.0,0.333,16.0,75.0,1.0,32.0,22.7,1750.0,45.5,31.8,3.0,1.0,38.0,40.0,106.66,0,1,2
